id,name,gender,age_group,created_at
5043a8ca-cc89-44ba-b4e9-a0bff155deaa,Ontario Premier League 1,M,,2026-02-21 06:06:42.851327+00
89437579-2aba-4351-9bab-c12ce40ac555,Ontario Premier League 2,M,,2026-02-22 04:16:46.769116+00
b73bcf88-1e70-4bad-a356-4c0d2f0985e3,Ontario Premier League 3,M,,2026-02-22 04:56:34.826509+00
